Distribution,Sample Size,Bin Count,CI_HDEM_MSE_Mean,CI_HDEM_MSE_Lower,CI_HDEM_MSE_Upper,CI_HDEM_MAE_Mean,CI_HDEM_MAE_Lower,CI_HDEM_MAE_Upper,CI_HDEM_Normalized MSE_Mean,CI_HDEM_Normalized MSE_Lower,CI_HDEM_Normalized MSE_Upper,CI_HDEM_Normalized MAE_Mean,CI_HDEM_Normalized MAE_Lower,CI_HDEM_Normalized MAE_Upper,CI_HDEM_IMSE_Mean,CI_HDEM_IMSE_Lower,CI_HDEM_IMSE_Upper,CI_HDEM_MISE_Mean,CI_HDEM_MISE_Lower,CI_HDEM_MISE_Upper,CI_HDEM_MIAE_Mean,CI_HDEM_MIAE_Lower,CI_HDEM_MIAE_Upper,CI_HDEM_AMISE_Mean,CI_HDEM_AMISE_Lower,CI_HDEM_AMISE_Upper
binom,100000,30,0.001061780351203845,0.001060305047264607,0.0010632556551430832,0.023465595856828093,0.023462272257109642,0.023468919456546545,1.061780351203845e-08,1.0603050472646069e-08,1.0632556551430832e-08,2.3465595856828093e-07,2.3462272257109642e-07,2.3468919456546544e-07,0.001061780351203845,0.001060305047264607,0.0010632556551430832,0.000353926783734615,0.00035343501575486896,0.000354418551714361,0.007821865285609363,0.007820757419036546,0.00782297315218218,3.357644284617655e-06,3.352978963928644e-06,3.362309605306666e-06
binom,100000,50,0.0008556799502781355,0.0008535165131402415,0.0008578433874160295,0.017622975410945776,0.017621378697851717,0.017624572124039836,8.556799502781356e-09,8.535165131402416e-09,8.578433874160296e-09,1.7622975410945774e-07,1.7621378697851717e-07,1.7624572124039832e-07,0.0008556799502781355,0.0008535165131402415,0.0008578433874160295,0.0001711359900556271,0.0001707033026280483,0.0001715686774832059,0.0035245950821891545,0.003524275739570343,0.0035249144248079662,2.7058975910185374e-06,2.6990562020881963e-06,2.7127389799488784e-06
binom,100000,100,0.00055139791765693,0.0005507981315461849,0.000551997703767675,0.01048226724336913,0.010481650409659852,0.01048288407707841,5.5139791765693e-09,5.507981315461849e-09,5.519977037676751e-09,1.0482267243369132e-07,1.0481650409659853e-07,1.0482884077078412e-07,0.00055139791765693,0.0005507981315461849,0.000551997703767675,5.513979176569301e-05,5.50798131546185e-05,5.5199770376767517e-05,0.0010482267243369131,0.0010481650409659852,0.001048288407707841,1.7436733168698733e-06,1.7417766266509847e-06,1.7455700070887619e-06
combined,50,10,0.00013536719624999643,7.194205293597499e-05,0.00019879233956401787,0.006228765813969125,0.0047973034833974715,0.007660228144540779,2.707343924999929e-06,1.4388410587195e-06,3.975846791280359e-06,0.0001245753162793825,9.594606966794942e-05,0.00015320456289081558,0.00013536719624999643,7.194205293597499e-05,0.00019879233956401787,3.0717806707004377e-05,1.6768465650701476e-05,4.466714776330728e-05,0.0014315014971810283,0.0011061659241169853,0.0017568370702450713,1.9143812483716532e-05,1.0174142696701895e-05,2.811348227073117e-05
combined,50,15,0.0001599329983060213,0.00010282229766436332,0.00021704369894767926,0.007669950653536756,0.0063476843685201755,0.008992216938553337,3.1986599661204267e-06,2.056445953287267e-06,4.340873978953586e-06,0.0001533990130707351,0.0001269536873704035,0.00017984433877106672,0.0001599329983060213,0.00010282229766436332,0.00021704369894767926,2.3107814702430373e-05,1.6263762217566634e-05,2.9951867187294113e-05,0.0011423928082803171,0.0009209528045099463,0.001363832812050688,2.2617941527536854e-05,1.4541268787130601e-05,3.0694614267943105e-05
combined,50,20,6.812008838508826e-05,4.408574365779714e-05,9.215443311237937e-05,0.005672414577566965,0.004612068492613261,0.006732760662520669,1.3624017677017651e-06,8.817148731559427e-07,1.8430886622475877e-06,0.00011344829155133929,9.224136985226523e-05,0.00013465521325041336,6.812008838508826e-05,4.408574365779714e-05,9.215443311237937e-05,8.436478486591485e-06,5.708617569814539e-06,1.116433940336843e-05,0.0007113386647745351,0.0005838749385180862,0.0008388023910309839,9.633635286424577e-06,6.234665658816038e-06,1.3032604914033117e-05
combined,50,25,0.00011370441502218896,7.590600291380832e-05,0.0001515028271305696,0.007815821053327333,0.006273295235130956,0.009358346871523709,2.2740883004437795e-06,1.5181200582761667e-06,3.0300565426113923e-06,0.0001563164210665467,0.00012546590470261914,0.00018716693743047423,0.00011370441502218896,7.590600291380832e-05,0.0001515028271305696,1.0316751025810282e-05,6.661515811052111e-06,1.3971986240568453e-05,0.0007071798591593604,0.0005337675127147061,0.0008805922056040146,1.6080232582607872e-05,1.0734729878623942e-05,2.14257352865918e-05
combined,50,30,0.00010834116806881621,8.442977570557084e-05,0.0001322525604320616,0.007924903055416304,0.007086958800024696,0.008762847310807913,2.1668233613763237e-06,1.6885955141114162e-06,2.6450512086412314e-06,0.0001584980611083261,0.00014173917600049393,0.0001752569462161583,0.00010834116806881621,8.442977570557084e-05,0.0001322525604320616,8.060865280010829e-06,5.643909974348757e-06,1.0477820585672901e-05,0.0005839934133447997,0.00047354541931856275,0.0006944414073710366,1.532175492462628e-05,1.1940173387093671e-05,1.8703336462158885e-05
combined,50,50,8.315341709138516e-05,6.280983373345287e-05,0.00010349700044931745,0.006741688700706444,0.006078099883013866,0.0074052775183990225,1.6630683418277029e-06,1.2561966746690569e-06,2.069940008986349e-06,0.0001348337740141289,0.00012156199766027732,0.00014810555036798046,8.315341709138516e-05,6.280983373345287e-05,0.00010349700044931745,3.166347430210197e-06,2.3688973511789032e-06,3.963797509241491e-06,0.0002582675373437804,0.00022438848549397326,0.0002921465891935875,1.1759669020830358e-05,8.882651871624814e-06,1.4636686170035903e-05
combined,50,100,6.361303309430772e-05,5.495160027450963e-05,7.227446591410582e-05,0.0054520830486320575,0.005124253043121826,0.005779913054142289,1.2722606618861544e-06,1.0990320054901925e-06,1.4454893182821164e-06,0.00010904166097264116,0.00010248506086243653,0.0001155982610828458,6.361303309430772e-05,5.495160027450963e-05,7.227446591410582e-05,1.4977675657265413e-06,1.2164374286109254e-06,1.7790977028421572e-06,0.0001267373230621637,0.00011459585146252312,0.00013887879466180426,8.996241414565852e-06,7.771329838231662e-06,1.0221152990900042e-05
combined,100,10,9.631587403760212e-05,4.970151763011621e-05,0.00014293023044508802,0.005287369045265865,0.003711329090230811,0.006863409000300919,9.631587403760214e-07,4.970151763011624e-07,1.4293023044508804e-06,5.287369045265865e-05,3.7113290902308103e-05,6.86340900030092e-05,9.631587403760212e-05,4.970151763011621e-05,0.00014293023044508802,2.340625124729423e-05,1.2160996399791243e-05,3.465150609479722e-05,0.0012997177898329691,0.0009235821838786922,0.001675853395787246,9.631587403760215e-06,4.9701517630116254e-06,1.4293023044508805e-05
